estimate_year,index,DC_001,MD_009,MD_017,MD_021,MD_031,MD_033,VA_013,VA_043,VA_047,VA_059,VA_061,VA_107,VA_153,VA_157,VA_177,VA_179,VA_187,VA_510,VA_600,VA_610,VA_630,VA_683,VA_685,WV_037
2011-2015,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2011-2015,FILETYPE,2015e5,2015e5,2015e5,2015e5,2015e5,2015e5,2015e5,2015e5,2015e5,2015e5,2015e5,2015e5,2015e5,2015e5,2015e5,2015e5,2015e5,2015e5,2015e5,2015e5,2015e5,2015e5,2015e5,2015e5
2011-2015,STATE,dc,md,md,md,md,md,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,wv
2011-2015,CHARITER,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
2011-2015,SEQUENCE,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003
2011-2015,LOGRECNO,0000006,0000016,0000020,0000022,0000027,0000028,0000019,0000034,0000036,0000041,0000042,0000065,0000085,0000087,0000097,0000098,0000102,0000108,0000117,0000118,0000120,0000127,0000128,0000031
2011-2015,SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050
2011-2015,STATE_FIPS,11,24,24,24,24,24,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,54
2011-2015,GEO_ID,05000US11001,05000US24009,05000US24017,05000US24021,05000US24031,05000US24033,05000US51013,05000US51043,05000US51047,05000US51059,05000US51061,05000US51107,05000US51153,05000US51157,05000US51177,05000US51179,05000US51187,05000US51510,05000US51600,05000US51610,05000US51630,05000US51683,05000US51685,05000US54037
2011-2015,GEO_NAME,"District of Columbia, District of Columbia","Calvert County, Maryland","Charles County, Maryland","Frederick County, Maryland","Montgomery County, Maryland","Prince George's County, Maryland","Arlington County, Virginia","Clarke County, Virginia","Culpeper County, Virginia","Fairfax County, Virginia","Fauquier County, Virginia","Loudoun County, Virginia","Prince William County, Virginia","Rappahannock County, Virginia","Spotsylvania County, Virginia","Stafford County, Virginia","Warren County, Virginia","Alexandria city, Virginia","Fairfax city, Virginia","Falls Church city, Virginia","Fredericksburg city, Virginia","Manassas city, Virginia","Manassas Park city, Virginia","Jefferson County, West Virginia"
2011-2015,B01003_1_total,647484,90114,152754,241373,1017859,892816,223945,14299,48424,1128722,67463,351129,437271,7431,127691,137145,38481,149315,23402,13308,27395,40743,15625,55214
2011-2015,B01001_1_total,647484,90114,152754,241373,1017859,892816,223945,14299,48424,1128722,67463,351129,437271,7431,127691,137145,38481,149315,23402,13308,27395,40743,15625,55214
2011-2015,B01001_2_male,306674,44495,73731,119038,490093,429603,112006,7031,24398,558606,33341,173986,217901,3681,62742,69055,19278,72057,11482,6374,12783,20314,8219,27113
2011-2015,B01001_3_under_5_years,20585,2464,4687,7466,34032,30537,6987,417,1678,38938,1963,14378,17624,121,4187,4484,1121,5712,781,413,1139,1710,807,1631
2011-2015,B01001_4_5_to_9_years,14999,2408,5269,7852,34085,28395,5350,518,1638,38717,2319,16111,18598,157,4338,4796,1348,3618,613,513,837,1577,623,1817
2011-2015,B01001_5_10_to_14_years,12723,4095,5908,9210,33532,28015,4422,350,1990,38006,2548,14685,16867,211,5455,5948,1238,2518,657,423,717,1481,598,1938
2011-2015,B01001_6_15_to_17_years,7740,2273,3836,5470,20613,16982,2320,375,972,23164,1544,7961,9963,151,3123,3607,831,1582,320,299,395,797,423,1022
2011-2015,B01001_7_18_and_19_years,10372,1285,2074,3397,11770,14819,1519,161,659,14089,738,3984,5597,25,1639,2080,495,719,217,66,548,469,258,890
2011-2015,B01001_8_20_years,6109,573,1010,1459,5354,7728,847,99,358,5746,302,1320,3581,54,863,970,183,660,146,117,349,404,84,359
2011-2015,B01001_9_21_years,5869,556,913,1600,5100,7802,680,63,358,5677,343,1265,3107,0,663,980,195,466,209,39,333,208,233,439
2011-2015,B01001_10_22_to_24_years,15325,1659,3192,4393,18558,20363,5920,186,747,21407,1209,5610,7686,130,2194,3866,838,2356,496,267,788,933,278,878
2011-2015,B01001_11_25_to_29_years,35295,2513,4674,7207,32973,34113,16550,332,1356,39650,1792,9222,15014,229,3938,4887,1106,7819,1007,345,1470,1663,527,1366
2011-2015,B01001_12_30_to_34_years,32716,2250,4403,7361,34765,32286,14313,352,1481,42071,1739,12675,16966,147,4271,4423,1240,9229,854,440,715,1717,803,1611
2011-2015,B01001_13_35_to_39_years,23748,2249,4133,6904,34857,29219,9672,341,1468,40337,1893,14461,16674,193,4209,4318,1253,7159,736,575,744,1400,590,1652
2011-2015,B01001_14_40_to_44_years,21158,2956,5764,9212,33837,30278,9184,408,1912,41526,2205,16564,16967,260,4153,5088,1101,6441,881,460,838,1711,600,1931
2011-2015,B01001_15_45_to_49_years,19279,4029,6210,9635,35502,30279,7597,575,1917,41982,2713,14914,16652,240,4894,5582,1631,5159,824,434,818,1377,752,2244
2011-2015,B01001_16_50_to_54_years,19249,4118,6082,9827,36415,30439,6780,626,1900,42428,2927,13061,15709,304,4860,5448,1614,4849,801,507,809,1368,528,2235
2011-2015,B01001_17_55_to_59_years,17592,3250,4698,8060,33218,26049,5864,605,1555,36564,2280,9107,12565,236,3843,4454,1382,4192,878,363,642,1217,450,1812
2011-2015,B01001_18_60_and_61_years,5922,1172,1765,2906,12047,9123,1948,189,454,13093,904,3146,3767,139,1766,1134,577,1372,179,212,235,262,99,779
2011-2015,B01001_19_62_to_64_years,8350,1503,2008,3847,15854,13046,2980,261,930,18263,1374,3733,5301,281,1905,1643,650,1964,421,255,246,545,98,1026
2011-2015,B01001_20_65_and_66_years,4218,831,1271,2285,9145,7496,1550,153,326,10157,730,2266,2976,97,1173,1046,438,1356,214,118,280,424,77,541
2011-2015,B01001_21_67_to_69_years,5522,1186,1428,3084,11006,8744,1814,265,697,12673,1075,2432,3630,183,1203,1233,424,1340,324,110,220,180,143,757
2011-2015,B01001_22_70_to_74_years,8221,1343,1943,2929,13871,9977,2481,282,878,13995,1128,2916,4004,238,1793,1327,746,1499,295,134,186,529,145,1028
2011-2015,B01001_23_75_to_79_years,5071,567,1049,2181,9453,6649,1104,210,556,9266,792,1888,2242,159,926,838,408,903,232,116,203,139,67,483
2011-2015,B01001_24_80_to_84_years,3399,512,814,1383,6847,4059,1056,173,298,6199,526,1508,1304,106,858,481,266,523,228,130,182,94,25,432
2011-2015,B01001_25_85_years_and_over,3212,703,600,1370,7259,3205,1068,90,270,4658,297,779,1107,20,488,422,193,621,169,38,89,109,11,242
2011-2015,B01001_26_female,340810,45619,79023,122335,527766,463213,111939,7268,24026,570116,34122,177143,219370,3750,64949,68090,19203,77258,11920,6934,14612,20429,7406,28101
2011-2015,B01001_27_under_5_years,19848,2240,4535,7046,32525,29211,6474,370,1455,37316,1940,13512,16942,235,3817,4404,1109,5419,740,391,820,1621,397,1508
2011-2015,B01001_28_5_to_9_years,15518,2821,4756,7754,31632,27297,5490,295,1879,37878,2389,14270,17846,205,4849,5106,1227,3732,596,435,692,1586,728,1905
2011-2015,B01001_29_10_to_14_years,11991,3608,5832,8494,33957,26973,3930,461,1672,35226,2123,15669,15931,179,4595,5382,1264,2382,648,586,692,1373,469,1887
2011-2015,B01001_30_15_to_17_years,7901,2245,3696,5124,19843,16391,2320,292,982,21769,1511,7769,9412,110,2977,3531,716,1496,499,348,378,901,203,1063
2011-2015,B01001_31_18_and_19_years,12426,1128,1987,2986,10833,13960,1598,250,609,12957,891,3672,5118,66,1558,1903,471,856,182,73,1062,466,211,775
2011-2015,B01001_32_20_years,6506,728,1071,1388,4637,6632,671,41,265,5336,280,1086,2450,34,812,783,331,639,185,53,666,316,16,488
2011-2015,B01001_33_21_years,6535,373,787,1438,4569,7716,408,79,195,6472,346,1489,2538,40,513,703,263,703,259,30,839,104,54,346
2011-2015,B01001_34_22_to_24_years,19085,1468,3038,4513,18224,19121,6550,153,709,19522,1165,5186,8379,85,2644,2807,483,2641,361,178,1077,991,341,1068
2011-2015,B01001_35_25_to_29_years,41913,2285,4703,7222,34114,33871,17236,271,1430,38156,1561,9723,14720,166,3919,4196,1108,9059,874,456,1190,1643,669,1521
2011-2015,B01001_36_30_to_34_years,35553,2483,5074,7637,36503,33281,13713,421,1429,42086,1750,14098,17300,48,4122,4295,1224,9659,769,570,985,1642,796,1649
2011-2015,B01001_37_35_to_39_years,24922,2339,5308,7426,36949,31745,9244,369,1474,41690,2183,15688,16958,320,4559,4413,977,7224,852,470,1031,1505,431,2003
2011-2015,B01001_38_40_to_44_years,20113,3430,6353,9159,37474,32004,8490,445,1664,43178,2223,16123,17451,177,4406,5368,1425,6216,648,418,662,1347,748,1935
2011-2015,B01001_39_45_to_49_years,18956,4067,6923,9934,39657,34696,6928,548,1795,43992,2758,15009,16933,274,5136,5958,1426,5234,817,505,779,1403,594,2122
2011-2015,B01001_40_50_to_54_years,19279,4269,6519,9997,40434,35187,6382,608,1851,44294,2972,12619,15638,298,5054,5499,1644,4873,867,629,749,1509,462,2124
2011-2015,B01001_41_55_to_59_years,18716,3312,5197,8471,36050,31415,5903,701,1687,39319,2354,9526,11560,305,4663,4270,1370,4784,840,495,741,1377,395,1999
2011-2015,B01001_42_60_and_61_years,7875,1198,1767,2980,14397,11436,2217,174,425,14039,957,3368,4581,158,1483,1349,467,1677,222,297,203,344,155,695
