estimate_year,index,DC_001,MD_009,MD_017,MD_021,MD_031,MD_033,VA_013,VA_043,VA_047,VA_059,VA_061,VA_107,VA_153,VA_157,VA_177,VA_179,VA_187,VA_510,VA_600,VA_610,VA_630,VA_683,VA_685,WV_037
2012-2016,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2012-2016,FILETYPE,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5
2012-2016,STATE,dc,md,md,md,md,md,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,wv
2012-2016,CHARITER,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
2012-2016,SEQUENCE,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003
2012-2016,LOGRECNO,0000006,0000016,0000020,0000022,0000027,0000028,0000019,0000034,0000036,0000041,0000042,0000065,0000085,0000087,0000097,0000098,0000102,0000108,0000117,0000118,0000120,0000127,0000128,0000031
2012-2016,SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050
2012-2016,STATE_FIPS,11,24,24,24,24,24,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,54
2012-2016,GEO_ID,05000US11001,05000US24009,05000US24017,05000US24021,05000US24031,05000US24033,05000US51013,05000US51043,05000US51047,05000US51059,05000US51061,05000US51107,05000US51153,05000US51157,05000US51177,05000US51179,05000US51187,05000US51510,05000US51600,05000US51610,05000US51630,05000US51683,05000US51685,05000US54037
2012-2016,GEO_NAME,"District of Columbia, District of Columbia","Calvert County, Maryland","Charles County, Maryland","Frederick County, Maryland","Montgomery County, Maryland","Prince George's County, Maryland","Arlington County, Virginia","Clarke County, Virginia","Culpeper County, Virginia","Fairfax County, Virginia","Fauquier County, Virginia","Loudoun County, Virginia","Prince William County, Virginia","Rappahannock County, Virginia","Spotsylvania County, Virginia","Stafford County, Virginia","Warren County, Virginia","Alexandria city, Virginia","Fairfax city, Virginia","Falls Church city, Virginia","Fredericksburg city, Virginia","Manassas city, Virginia","Manassas Park city, Virginia","Jefferson County, West Virginia"
2012-2016,B01003_1_total,659009,90527,154357,243465,1026371,897693,226092,14307,48952,1132887,68025,362435,443630,7416,129181,139548,38807,151473,23620,13597,27853,41149,15827,55531
2012-2016,B01001_1_total,659009,90527,154357,243465,1026371,897693,226092,14307,48952,1132887,68025,362435,443630,7416,129181,139548,38807,151473,23620,13597,27853,41149,15827,55531
2012-2016,B01001_2_male,312629,44966,74489,120072,494612,431752,112644,7087,24612,560803,33659,179315,220996,3643,63429,70245,19357,73054,11626,6577,13066,20455,8387,27512
2012-2016,B01001_3_under_5_years,21367,2640,4843,7362,34300,30543,6938,390,1716,38435,2016,14347,17581,114,4208,4487,1073,5788,802,407,1183,1693,830,1717
2012-2016,B01001_4_5_to_9_years,16364,2467,5439,7853,34586,29192,5696,654,1651,39439,2284,16199,18722,134,4494,5032,1219,3719,713,559,904,1655,761,1901
2012-2016,B01001_5_10_to_14_years,12316,4006,5617,9205,33650,27211,4605,260,2001,37886,2518,15222,17073,225,5222,5782,1325,2719,578,494,776,1422,493,1919
2012-2016,B01001_6_15_to_17_years,7757,2311,3766,5475,20735,16779,2423,402,1003,23388,1566,8279,10271,153,3120,3583,805,1658,377,294,323,786,397,1134
2012-2016,B01001_7_18_and_19_years,10131,1281,2114,3460,11735,14480,1406,143,672,14116,779,4134,5654,25,1706,2076,512,885,214,117,563,456,225,841
2012-2016,B01001_8_20_years,5632,488,1012,1509,5673,7429,730,71,374,5558,376,1442,3743,57,924,846,294,556,142,108,269,201,52,409
2012-2016,B01001_9_21_years,5994,616,998,1559,5242,7156,641,48,323,5625,301,1376,2880,0,677,1036,171,398,215,61,406,258,224,447
2012-2016,B01001_10_22_to_24_years,15518,1730,3181,4504,18828,20244,5873,225,703,22322,1129,5989,7903,153,2486,4020,817,2382,479,234,734,1091,244,803
2012-2016,B01001_11_25_to_29_years,36030,2516,4816,7332,32424,34532,15828,371,1376,38050,1840,9172,14636,199,3823,4829,1131,7504,973,325,1508,1612,628,1468
2012-2016,B01001_12_30_to_34_years,34033,2303,4496,7497,34863,32496,14332,314,1454,41749,1789,12783,16973,150,3984,4623,1228,9227,868,477,736,1777,773,1654
