"statefips","countyfips","cv1","cv3","year","cv5","cv6","cv7","cv59","cv2","cv4","cv58","cv28","cv8","cv9","cv10","cv11","cv12","cv13","cv14","cv15","cv16","cv17","cv18","cv19","cv20","cv21","cv22","cv23","cv24","cv25","cv26","cv27","cv29","name","cv87","cv60"
"11","001",331069,94446,1910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24","009",10325,5046,1910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24","017",16386,8572,1910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24","021",52673,5399,1910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24","031",32089,9235,1910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24","033",36147,11493,1910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"51","013",10231,2645,1910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"51","043",7468,1900,1910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"51","047",13472,5262,1910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"51","059",20536,4864,1910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"51","061",22526,7486,1910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"51","107",21167,5221,1910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"51","153",12026,2825,1910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"51","157",8044,2148,1910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"51","177",9935,3593,1910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"51","179",8070,1720,1910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"51","187",8589,1131,1910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"51","510",15329,4188,1910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"51","630",5874,1480,1910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54","037",15889,3499,1910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11","001",437571,109966,1920,595,10482,13189031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24","009",9744,4789,1920,17,222,256665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24","017",17705,8210,1920,29,116,72506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24","021",52541,4764,1920,193,2723,2385116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24","031",34921,8282,1920,66,174,185336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24","033",43347,12056,1920,67,264,449037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"51","013",16040,2507,1920,55,4683,6155091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"51","043",7165,1743,1920,14,26,20350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"51","047",13292,4692,1920,30,167,107450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"51","059",21943,4546,1920,30,83,71792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"51","061",21869,6932,1920,47,128,112759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"51","107",20577,4810,1920,45,98,87553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"51","153",13660,2791,1920,46,102,79201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"51","157",8070,2154,1920,27,64,40801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"51","177",10571,3450,1920,95,859,579792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"51","179",8104,1530,1920,20,62,43339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"51","187",8852,1129,1920,37,324,208254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"51","510",18060,4112,1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"51","630",5882,1193,1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54","037",15729,3016,1920,49,821,688566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11","001",486869,132068,1930,547,9752,15512711,243859,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24","009",9528,4519,1930,5,94,55139,3181,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24","017",16166,7492,1930,6,16,14864,5564,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24","021",54440,4713,1930,87,2635,2446351,19302,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24","031",49206,8266,1930,37,239,356625,18534,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24","033",60095,14023,1930,27,255,223601,22635,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"51","013",26615,3337,1930,27,1015,1252412,11431,,,,,,,,,,,,,,,,,,,,,,,,,,,,
